Term,Subject,Number,CCN,Title,Type,Section#,Instructor,Meeting Times,Rejected Student Cnt,Enrollment Limit,Waitlist Limit Cnt,Enrollment Cnt,% Class Filled,% Class Filled,Waitlist Cnt,Include Sb Week Desc
2017 Spring,Computer Science,9H,26155,Programmers' Python,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,55,10,0,42,420,420,0,Week 04
2017 Spring,Computer Science,10,26156,Beauty Joy Computng,Lecture,1,Daniel Garcia; Lara McConnaughey; Steven Traversi,Mon Wed 01:00p-01:59p,339,157,90,148,94.26752,94.26752,0,Week 04
2017 Spring,Computer Science,24,26177,Freshman Seminars,Seminar,1,Christopher Hunn,Tue 04:00p-05:59p,42,30,30,28,93.33333,93.33333,0,Week 04
2017 Spring,Computer Science,24,26178,Freshman Seminars,Seminar,2,Christopher Hunn,Thu 04:00p-05:59p,29,30,32,25,83.33333,83.33333,0,Week 04
2017 Spring,Computer Science,24,26180,Freshman Seminars,Seminar,10,Brian Barsky,Fri 12:00p-01:59p,36,10,20,6,60,60,0,Week 04
2017 Spring,Computer Science,47A,26183,Interp Comp Progs,Self-paced,1,Carol Marshall; John DeNero,12:00a-12:00a,4,20,20,1,5,5,0,Week 04
2017 Spring,Computer Science,47B,26184,Supl Data Structure,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,17,30,20,4,13.33333,13.33333,5,Week 04
2017 Spring,Computer Science,47C,26185,Supl Mach Structure,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,4,20,20,1,5,5,0,Week 04
2017 Spring,Computer Science,61A,26186,Str Interp Cmp Prgs,Lecture,1,Paul Hilfinger,Mon Wed Fri 02:00p-02:59p,1076,1052,600,965,91.73004,91.73004,12,Week 04
2017 Spring,Computer Science,61B,26250,Data Structures,Lecture,1,Joshua Hug; Joshua Hug,Fri 03:00p-03:59p; Mon Wed 03:00p-03:59p,989,1379,450,1328,96.30167,96.30167,44,Week 04
2017 Spring,Computer Science,61C,26319,Machine Structures,Lecture,1,Gerald Friedland; Nicholas Weaver; Rebecca Herman; Stephan Liu,Mon Wed Fri 10:00a-10:59a,467,519,240,515,99.22929,99.22929,31,Week 04
2017 Spring,Computer Science,70,26348,Discrete Math&Prob,Lecture,1,Satish Rao,Tue Thu 12:30p-01:59p,593,775,524,766,98.83871,98.83871,14,Week 04
2017 Spring,Computer Science,97,26373,Field Study,Field Work,1,Paul Hilfinger,12:00a-12:00a,,15,15,3,20,20,0,Week 04
2017 Spring,Computer Science,97,26374,Field Study,Field Work,200,Daniel Garcia,12:00a-12:00a,,220,120,31,14.09091,14.09091,0,Week 04
2017 Spring,Computer Science,97,26377,Field Study,Field Work,203,Joshua Hug,12:00a-12:00a,5,250,250,36,14.4,14.4,0,Week 04
2017 Spring,Computer Science,97,26378,Field Study,Field Work,205,John DeNero,12:00a-12:00a,1,250,125,25,10,10,0,Week 04
2017 Spring,Computer Science,97,26380,Field Study,Field Work,209,John DeNero,12:00a-12:00a,,75,37,8,10.66667,10.66667,0,Week 04
2017 Spring,Computer Science,97,34471,Field Study,Field Work,212,Cathryn Carson,,,75,15,7,9.333333,9.333333,0,Week 04
2017 Spring,Computer Science,97,34502,Field Study,Field Work,213,Paul Hilfinger,,171,200,20,140,70,70,0,Week 04
2017 Spring,Computer Science,C100,34030,Princ&Tech Data Sci,Lecture,1,Bin Yu; Deborah Nolan; Joseph Gonzalez; Joseph Hellerstein,Tue Thu 12:30p-01:59p,259,67,80,67,100,100,15,Week 04
2017 Spring,Computer Science,160,26408,User Interfaces,Lecture,1,John Canny,Tue Thu 09:30a-10:59a,484,120,0,105,87.5,87.5,0,Week 04
2017 Spring,Computer Science,160,32714,User Interfaces,Lecture,2,John Canny,Tue Thu 09:30a-10:59a,92,60,0,55,91.66667,91.66667,0,Week 04
2017 Spring,Computer Science,160,32715,User Interfaces,Lecture,3,John Canny,Tue Thu 09:30a-10:59a,87,60,0,55,91.66667,91.66667,0,Week 04
2017 Spring,Computer Science,161,26417,Computer Security,Lecture,1,Vern Paxson,Tue Thu 05:00p-06:29p,545,481,300,466,96.8815,96.8815,12,Week 04
2017 Spring,Computer Science,162,26434,Op Sys And Sys Prog,Lecture,1,Ion Stoica,Mon Wed 06:30p-07:59p,321,297,0,297,100,100,3,Week 04
2017 Spring,Computer Science,164,26447,Prog Lang And Comp,Lecture,1,Koushik Sen,Mon Wed 02:30p-03:59p,147,98,128,97,98.97959,98.97959,5,Week 04
2017 Spring,Computer Science,170,26478,Intro Cs Theory,Lecture,1,Prasad Raghavendra; Sanjam Garg,Tue Thu 03:30p-04:59p,578,600,240,600,100,100,8,Week 04
2017 Spring,Computer Science,174,26501,Comb And Disc Prob,Lecture,1,Eric Friedman,Tue Thu 02:00p-03:29p,70,35,100,28,80,80,0,Week 04
2017 Spring,Computer Science,184,26505,Computer Graphics,Lecture,1,Austin Le; Benjamin Mildenhall; Kevin Chen; Lingqi Yan; Yi-Ren Ng,Mon Wed Fri 03:00p-03:59p,241,136,130,135,99.26471,99.26471,5,Week 04
2017 Spring,Computer Science,186,26510,Intro To Database,Lecture,1,Todd Green,Tue Thu 11:00a-12:29p,677,481,300,472,98.1289,98.1289,30,Week 04
2017 Spring,Computer Science,188,26527,Artif Intelligence,Lecture,1,Anca Dragan,Mon Wed 05:00p-06:29p,726,408,200,405,99.26471,99.26471,41,Week 04
2017 Spring,Computer Science,189,26546,Intro Machine Learn,Lecture,1,Jonathan Shewchuk,Mon Wed 06:30p-07:59p,722,500,0,477,95.4,95.4,0,Week 04
2017 Spring,Computer Science,C191,34017,Quant Inf Sci Techn,Lecture,1,Brian Barch; Maya Lewin-Berlin; Umesh Vazirani,Tue Thu 11:00a-12:29p,167,90,84,51,56.66667,56.66667,11,Week 04
2017 Spring,Computer Science,194,26563,Special Topics,Lecture,30,Nicholas Weaver; Scott Shenker,Tue Thu 12:30p-01:59p,72,22,100,21,95.45455,95.45455,3,Week 04
2017 Spring,Computer Science,194,33957,Special Topics,Lecture,131,Bjorn Hartmann; Zvika Krieger,Thu 02:00p-04:59p,42,20,0,14,70,70,0,Week 04
2017 Spring,Computer Science,194,34032,Special Topics,Lecture,133,Anant Sahai,Mon Wed 01:00p-02:29p,37,20,35,14,70,70,0,Week 04
2017 Spring,Computer Science,195,26564,Social Implic Comp,Lecture,1,Daniel Garcia; Joshua Hug,Mon 04:00p-05:29p,210,250,200,215,86,86,0,Week 04
2017 Spring,Computer Science,197,26568,Field Study,Field Work,1,Paul Hilfinger,12:00a-12:00a,2,31,31,15,48.3871,48.3871,0,Week 04
2017 Spring,Computer Science,197,26570,Field Study,Field Work,200,Daniel Garcia,12:00a-12:00a,,80,80,7,8.75,8.75,0,Week 04
2017 Spring,Computer Science,197,26573,Field Study,Field Work,203,Joshua Hug,12:00a-12:00a,4,90,75,33,36.66667,36.66667,0,Week 04
2017 Spring,Computer Science,197,26574,Field Study,Field Work,204,Anant Sahai,12:00a-12:00a,,75,37,3,4,4,0,Week 04
2017 Spring,Computer Science,197,26575,Field Study,Field Work,205,John DeNero,12:00a-12:00a,3,90,37,18,20,20,0,Week 04
2017 Spring,Computer Science,197,26576,Field Study,Field Work,206,Gerald Friedland; Nicholas Weaver,12:00a-12:00a,1,75,37,15,20,20,0,Week 04
2017 Spring,Computer Science,197,26577,Field Study,Field Work,209,John DeNero,12:00a-12:00a,2,75,37,6,8,8,0,Week 04
2017 Spring,Computer Science,197,26578,Field Study,Field Work,210,Satish Rao,12:00a-12:00a,2,90,37,7,7.777778,7.777778,0,Week 04
2017 Spring,Computer Science,197,26579,Field Study,Field Work,211,Bjorn Hartmann,12:00a-12:00a,,75,37,8,10.66667,10.66667,0,Week 04
2017 Spring,Computer Science,197,34501,Field Study,Field Work,212,Paul Hilfinger; Paul Hilfinger,,41,200,30,48,24,24,0,Week 04
2017 Spring,Computer Science,197,34717,Field Study,Field Work,214,Christopher Hunn,,76,700,0,405,57.85714,57.85714,0,Week 04
2017 Spring,Computer Science,197,34718,Field Study,Field Work,215,Christopher Hunn,,10,60,0,14,23.33333,23.33333,0,Week 04
2017 Spring,Computer Science,197,34781,Field Study,Field Work,216,Vern Paxson,,,30,0,1,3.333333,3.333333,0,Week 04
2017 Spring,Computer Science,198,26580,Directed Group Stdy,Directed Group Study,1,Daniel Garcia,Tue Thu 06:30p-07:59p,52,90,120,73,81.11111,81.11111,0,Week 04
2017 Spring,Computer Science,198,26581,Directed Group Stdy,Directed Group Study,2,Daniel Garcia,Mon Wed Fri 10:00a-10:59a,13,24,20,9,37.5,37.5,0,Week 04
2017 Spring,Computer Science,198,26582,Directed Group Stdy,Directed Group Study,3,Daniel Garcia,Tue 07:00p-08:59p,16,49,33,19,38.77551,38.77551,0,Week 04
2017 Spring,Computer Science,198,34478,Directed Group Stdy,Directed Group Study,48,Christopher Hunn,Wed 04:00p-05:29p,12,30,10,10,33.33333,33.33333,0,Week 04
2017 Spring,Computer Science,198,34479,Directed Group Stdy,Directed Group Study,49,Christopher Hunn,Thu 02:00p-03:29p,13,30,10,20,66.66667,66.66667,0,Week 04
2017 Spring,Computer Science,198,34350,Directed Group Stdy,Directed Group Study,56,Bjorn Hartmann,Thu 05:00p-06:59p,49,120,20,112,93.33333,93.33333,0,Week 04
2017 Spring,Computer Science,198,34515,Directed Group Stdy,Directed Group Study,58,Joshua Hug,Tue 05:00p-06:29p,49,60,0,42,70,70,9,Week 04
2017 Spring,Computer Science,198,33944,Directed Group Stdy,Directed Group Study,61,Christopher Hunn,Tue 06:00p-07:59p,15,40,20,36,90,90,0,Week 04
2017 Spring,Computer Science,198,33945,Directed Group Stdy,Directed Group Study,62,Christopher Hunn,Thu 06:00p-07:59p,12,40,20,20,50,50,0,Week 04
2017 Spring,Computer Science,198,34363,Directed Group Stdy,Directed Group Study,64,Xiaodong Song,Wed 04:00p-04:59p,11,49,0,41,83.67347,83.67347,0,Week 04
2017 Spring,Computer Science,198,33947,Directed Group Stdy,Directed Group Study,67,Gerald Friedland,Tue 07:00p-08:59p,21,50,20,45,90,90,0,Week 04
2017 Spring,Computer Science,198,33948,Directed Group Stdy,Directed Group Study,68,Yi-Ren Ng,Tue Thu 04:30p-05:59p,15,35,40,22,62.85714,62.85714,0,Week 04
2017 Spring,Computer Science,198,33946,Directed Group Stdy,Directed Group Study,70,Christopher Hunn,Wed 06:00p-07:59p,10,35,30,14,40,40,0,Week 04
2017 Spring,Computer Science,198,34230,Directed Group Stdy,Directed Group Study,71,Anant Sahai,Wed 07:00p-08:59p,14,35,0,13,37.14286,37.14286,0,Week 04
2017 Spring,Computer Science,198,34351,Directed Group Stdy,Directed Group Study,72,Benjamin Recht,Mon Wed 06:30p-07:59p,33,60,15,33,55,55,0,Week 04
2017 Spring,Computer Science,198,34721,Directed Group Stdy,Directed Group Study,74,John DeNero,Mon 08:00p-08:59p,2,25,0,2,8,8,0,Week 04
2017 Spring,Computer Science,198,34761,Directed Group Stdy,Directed Group Study,75,Scott Shenker,Tue Thu 07:00p-08:29p,19,185,40,38,20.54054,20.54054,0,Week 04
2017 Spring,Computer Science,198,34691,Directed Group Stdy,Directed Group Study,153,Paul Hilfinger,Fri 04:30p-05:59p,4,98,20,29,29.59184,29.59184,0,Week 04
2017 Spring,Computer Science,198,26600,Directed Group Stdy,Directed Group Study,303,Daniel Garcia,Thu 07:00p-08:59p,5,49,24,28,57.14286,57.14286,0,Week 04
2017 Spring,Computer Science,198,34364,Directed Group Stdy,Directed Group Study,642,Xiaodong Song,Fri 03:00p-03:59p,19,80,0,54,67.5,67.5,0,Week 04
2017 Spring,Computer Science,250,26669,Vlsi Systems Design,Lecture,1,John Wawrzynek,Tue Thu 12:30p-01:59p,6,32,16,5,15.625,15.625,0,Week 04
2017 Spring,Computer Science,252,34165,Grad Comput Arch,Lecture,1,Lisa Wu,Tue Thu 11:00a-12:29p,6,30,20,6,20,20,0,Week 04
2017 Spring,Computer Science,260A,26670,User Interfaces,Lecture,1,John Canny,Tue Thu 09:30a-10:59a,52,20,0,10,50,50,0,Week 04
2017 Spring,Computer Science,C267,26672,App Of Parallel Com,Lecture,1,Aydin Buluc; Katherine Yelick,Mon Wed 10:30a-11:59a,57,98,40,79,80.61224,80.61224,0,Week 04
2017 Spring,Computer Science,270,26674,Comb Alg & Data Str,Lecture,1,Satish Rao,Tue Thu 09:30a-10:59a,104,98,75,68,69.38776,69.38776,1,Week 04
2017 Spring,Computer Science,274,33417,Comp Geometry,Lecture,1,Jonathan Shewchuk,Mon Wed 02:30p-03:59p,27,35,30,25,71.42857,71.42857,0,Week 04
2017 Spring,Computer Science,C280,26675,Computer Vision,Lecture,1,Alexei Efros; Stella Yu,Wed Fri 01:00p-02:29p,140,98,50,80,81.63265,81.63265,0,Week 04
2017 Spring,Computer Science,C281B,32699,Adv Learn & Decisn,Lecture,1,Benjamin Recht,Mon 02:00p-04:59p,45,15,0,11,73.33333,73.33333,0,Week 04
2017 Spring,Computer Science,284A,26677,Computer Graphics,Lecture,1,Austin Le; Benjamin Mildenhall; Kevin Chen; Lingqi Yan; Yi-Ren Ng,Mon Wed Fri 03:00p-03:59p,28,11,15,10,90.90909,90.90909,0,Week 04
2017 Spring,Computer Science,284B,32238,Adv Comp Graphics,Lecture,1,James O'Brien,Mon Wed 01:00p-02:29p,32,35,33,27,77.14286,77.14286,0,Week 04
2017 Spring,Computer Science,286A,26678,Intro To Database,Lecture,1,Todd Green,Tue Thu 11:00a-12:29p,43,40,0,5,12.5,12.5,2,Week 04
2017 Spring,Computer Science,289A,26679,Intro Machine Learn,Lecture,1,Jonathan Shewchuk,Mon Wed 06:30p-07:59p,281,120,0,94,78.33333,78.33333,2,Week 04
2017 Spring,Computer Science,294,26680,Special Topics,Lecture,43,Alexei Efros; Alexei Efros; Trevor Darrell; Trevor Darrell,Fri 03:00p-03:59p; Mon 04:00p-04:59p,20,25,25,13,52,52,0,Week 04
2017 Spring,Computer Science,294,33770,Special Topics,Lecture,112,Sergey Levine,Mon Wed 09:00a-10:29a,175,90,50,86,95.55556,95.55556,24,Week 04
2017 Spring,Computer Science,294,34001,Special Topics,Lecture,131,Trevor Darrell; Xiaodong Song,Mon 01:00p-02:29p,84,98,50,78,79.59184,79.59184,0,Week 04
2017 Spring,Computer Science,294,33519,Special Topics,Lecture,132,Alessandro Chiesa,Tue Thu 02:00p-03:29p,8,30,15,13,43.33333,43.33333,0,Week 04
2017 Spring,Computer Science,294,34031,Special Topics,Lecture,133,Anant Sahai,Mon Wed 01:00p-02:29p,9,20,35,9,45,45,0,Week 04
2017 Spring,Computer Science,294,34506,Special Topics,Lecture,135,Anthony Joseph,Mon Tue 04:00p-05:29p,1,35,35,6,17.14286,17.14286,0,Week 04
2017 Spring,Computer Science,294,34423,Special Topics,Lecture,998,Scott Shenker,,1,1,0,1,100,100,0,Week 04
2017 Spring,Computer Science,294,34257,Special Topics,Lecture,999,George Necula,,,1,0,1,100,100,0,Week 04
2017 Spring,Computer Science,298,26690,"Grp Std, Sem, Res",Lecture,2,Umesh Vazirani,Mon 04:00p-05:29p,,60,25,3,5,5,0,Week 04
2017 Spring,Computer Science,298,26692,"Grp Std, Sem, Res",Lecture,6,James Demmel; Ming Gu,Wed 11:00a-11:59a,2,25,14,1,4,4,0,Week 04
2017 Spring,Computer Science,375,26770,Teaching Techniques,Discussion,1,Randy Katz,Fri 02:30p-04:29p,60,98,60,69,70.40816,70.40816,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,151,26817,Intro Dig Inte Cir,Lecture,1,Elad Alon,Tue Thu 12:30p-01:59p,23,38,10,30,78.94737,78.94737,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,151LA,26820,Intro Dig Des Ic As,Laboratory,101,Elad Alon,Wed 05:00p-07:59p,4,38,5,8,21.05263,21.05263,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,151LB,26822,Dig Des Ic Fpga Lab,Laboratory,101,Elad Alon,Tue 05:00p-07:59p,7,38,5,10,26.31579,26.31579,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,151LB,26823,Dig Des Ic Fpga Lab,Laboratory,102,Elad Alon,Wed 02:00p-04:59p,7,38,5,13,34.21053,34.21053,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,251A,26825,Intro Dig Des Ic,Lecture,1,Elad Alon,Tue Thu 12:30p-01:59p,5,41,10,2,4.878049,4.878049,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,251LA,26828,Intro Dig Des Ic As,Laboratory,101,Elad Alon,Wed 05:00p-07:59p,,20,5,2,10,10,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,251LB,26830,Dig Des Ic Fpga Lab,Laboratory,101,Elad Alon,Tue 05:00p-07:59p,2,38,5,1,2.631579,2.631579,0,Week 04
2017 Spring,Electrical Eng & Computer Sci,251LB,26831,Dig Des Ic Fpga Lab,Laboratory,102,Elad Alon,Wed 02:00p-04:59p,1,38,5,2,5.263158,5.263158,0,Week 04
2017 Spring,Electrical Engineering,16A,26833,Design Info Dev I,Lecture,1,Babak Ayazifar; Vladimir Stojanovic,Tue Thu 09:30a-10:59a,886,784,500,775,98.85204,98.85204,9,Week 04
2017 Spring,Electrical Engineering,16B,26878,Design Info Dev Ii,Lecture,1,Edward Wang; Jiexi Yang; Michel Maharbiz; Murat Arcak; Rachel Zhang,Tue Thu 02:00p-03:29p,269,448,300,400,89.28571,89.28571,3,Week 04
2017 Spring,Electrical Engineering,24,26906,Freshman Seminar,Seminar,1,Edward Lee,Tue 12:30p-01:29p,32,15,15,15,100,100,2,Week 04
2017 Spring,Electrical Engineering,105,26922,Micro Dev & Cir,Lecture,1,Ali Niknejad; Rikky Muller,Tue Thu 03:30p-04:59p,46,44,15,28,63.63636,63.63636,0,Week 04
2017 Spring,Electrical Engineering,C106B,26929,Robotic Manipulatio,Lecture,1,Ruzena Bajcsy,Tue Thu 09:30a-10:59a,22,38,15,14,36.84211,36.84211,0,Week 04
2017 Spring,Electrical Engineering,113,26937,Power Electronics,Lecture,1,Seth Sanders,Mon Wed 09:30a-10:59a,14,25,15,12,48,48,0,Week 04
2017 Spring,Electrical Engineering,117,26940,Em Fields & Wav,Lecture,1,Eli Yablonovitch,Mon Wed Fri 11:00a-11:59a,14,22,25,19,86.36364,86.36364,0,Week 04
2017 Spring,Electrical Engineering,120,26943,Signals And Systems,Lecture,1,Thomas Courtade,Tue Thu 02:00p-03:59p,57,80,30,76,95,95,0,Week 04
2017 Spring,Electrical Engineering,122,26949,Comm Networks,Lecture,1,Shyam Parekh,Tue Thu 05:30p-06:59p,41,52,65,34,65.38462,65.38462,0,Week 04
2017 Spring,Electrical Engineering,123,26952,Digit Sig Process,Lecture,1,Avideh Zakhor; James Carlson,Tue Thu 08:00a-09:29a,16,44,20,10,22.72727,22.72727,0,Week 04
2017 Spring,Electrical Engineering,126,26956,Prob & Random P,Lecture,1,Kannan Ramchandran,Tue Thu 09:30a-10:59a,122,99,57,88,88.88889,88.88889,0,Week 04
2017 Spring,Electrical Engineering,127,26959,Optimization Models,Lecture,1,Laurent El Ghaoui,Tue Thu 11:00a-12:29p,149,150,50,130,86.66667,86.66667,0,Week 04
2017 Spring,Electrical Engineering,C128,26963,Feedback Cntrl Sys,Lecture,1,Ronald Fearing,Tue Thu 08:00a-09:29a,42,41,70,36,87.80488,87.80488,0,Week 04
2017 Spring,Electrical Engineering,130,26970,Ic Devices,Lecture,1,Sayeef Salahuddin,Tue Thu 02:00p-03:29p,11,30,40,16,53.33333,53.33333,0,Week 04
2017 Spring,Electrical Engineering,134,26973,Photovoltaic Devic,Lecture,1,Ana Arias,Mon Wed 02:00p-03:29p,22,28,40,24,85.71429,85.71429,0,Week 04
2017 Spring,Electrical Engineering,137B,26976,Elec Power Systems,Lecture,1,Alexandra Von Meier,Mon Wed 04:00p-05:29p,15,25,10,24,96,96,0,Week 04
2017 Spring,Electrical Engineering,140,26978,Lin Integ Circ,Lecture,1,Kristofer Pister,Mon Wed Fri 03:00p-03:59p,20,40,10,29,72.5,72.5,0,Week 04
2017 Spring,Electrical Engineering,143,26990,Microfab Tech,Lecture,1,Ali Javey,Tue Thu 11:00a-12:29p,26,44,45,29,65.90909,65.90909,0,Week 04
2017 Spring,Electrical Engineering,192,26997,Mechtron Design Lab,Lecture,1,Ronald Fearing,Tue 12:30p-01:59p,28,36,30,33,91.66667,91.66667,0,Week 04
2017 Spring,Electrical Engineering,194,34069,Special Topics,Lecture,1,Kristofer Pister,Tue Thu 04:00p-05:29p,2,15,15,7,46.66667,46.66667,0,Week 04
2017 Spring,Electrical Engineering,198,27008,Directed Group Stdy,Directed Group Study,1,Clark Nguyen,Wed 08:00p-09:59p,6,48,10,48,100,100,4,Week 04
2017 Spring,Electrical Engineering,198,27009,Directed Group Stdy,Directed Group Study,2,Pieter Abbeel,,9,60,36,30,50,50,0,Week 04
2017 Spring,Electrical Engineering,198,27013,Directed Group Stdy,Directed Group Study,6,Anca Dragan,Mon 08:00p-09:59p,,40,20,12,30,30,0,Week 04
2017 Spring,Electrical Engineering,198,27016,Directed Group Stdy,Directed Group Study,13,Shimon Lustig; Thomas Zajdel,Wed 06:30p-08:29p,17,40,20,25,62.5,62.5,0,Week 04
2017 Spring,Electrical Engineering,198,34243,Directed Group Stdy,Directed Group Study,14,Chenming Hu,Thu 05:30p-07:29p,5,20,5,8,40,40,0,Week 04
2017 Spring,Electrical Engineering,206B,31550,Robotic Manipulatio,Lecture,1,Ruzena Bajcsy,Tue Thu 09:30a-10:59a,5,38,10,2,5.263158,5.263158,0,Week 04
2017 Spring,Electrical Engineering,213A,31481,Power Electronics,Lecture,1,Seth Sanders,Mon Wed 09:30a-10:59a,2,25,5,6,24,24,0,Week 04
2017 Spring,Electrical Engineering,C220C,32796,Experiental Cntr Ii,Lecture,1,Andrew Packard; Francesco Borrelli,Tue Thu 02:00p-03:29p,2,15,15,2,13.33333,13.33333,0,Week 04
2017 Spring,Electrical Engineering,222,27100,Non-Lin Syst Analys,Lecture,1,Claire Tomlin,Tue Thu 11:00a-12:29p,13,41,30,31,75.60976,75.60976,0,Week 04
2017 Spring,Electrical Engineering,225A,27101,Dig Signal Process,Lecture,1,Laura Waller,Mon Wed 05:30p-06:59p,8,30,33,15,50,50,0,Week 04
2017 Spring,Electrical Engineering,C225E,33984,Prin Magnet Img,Lecture,1,Moriel Vandsburger,Tue Thu 02:00p-03:29p,4,15,5,4,26.66667,26.66667,0,Week 04
2017 Spring,Electrical Engineering,226B,31543,Stotchastic Thy App,Lecture,1,Venkatacha Anantharam,Tue Thu 03:30p-04:59p,9,25,10,17,68,68,0,Week 04
2017 Spring,Electrical Engineering,227AT,27103,Optimization Models,Lecture,1,Laurent El Ghaoui,Tue Thu 11:00a-12:29p,67,34,50,29,85.29412,85.29412,0,Week 04
2017 Spring,Electrical Engineering,C227C,27107,Convex Opt & Ap,Lecture,1,Martin Wainwright,Tue Thu 12:30p-01:59p,53,62,20,43,69.35484,69.35484,0,Week 04
2017 Spring,Electrical Engineering,230A,27109,Ic Devices,Lecture,1,Sayeef Salahuddin,Tue Thu 02:00p-03:29p,4,30,18,6,20,20,0,Week 04
2017 Spring,Electrical Engineering,W230A,27112,Ic Devices,Web-Based Lecture,1,Ali Javey,12:00a-12:00a,1,10,1,2,20,20,0,Week 04
2017 Spring,Electrical Engineering,230B,27113,Solid State Devices,Lecture,1,Vivek Subramanian,Tue Thu 02:00p-03:29p,5,21,30,12,57.14286,57.14286,0,Week 04
2017 Spring,Electrical Engineering,232,27115,Lightwave Devices,Lecture,1,Ming-Chiang Wu,Tue Thu 11:00a-12:29p,7,28,30,26,92.85714,92.85714,0,Week 04
2017 Spring,Electrical Engineering,240A,27119,Ana Integ Circ,Lecture,1,Kristofer Pister,Mon Wed Fri 03:00p-03:59p,4,44,17,6,13.63636,13.63636,0,Week 04
2017 Spring,Electrical Engineering,W240A,27126,Ana Integ Circ,Web-Based Lecture,1,Clark Nguyen,12:00a-12:00a,1,9,9,3,33.33333,33.33333,0,Week 04
2017 Spring,Electrical Engineering,240B,27127,Adv Analog Int Circ,Lecture,1,Bernhard Boser,Tue Thu 09:30a-10:59a,11,24,30,17,70.83333,70.83333,0,Week 04
2017 Spring,Electrical Engineering,W240C,27128,Vlsi An-Dig Interf,Web-Based Lecture,101,Bernhard Boser,12:00a-12:00a,1,10,1,4,40,40,0,Week 04
2017 Spring,Electrical Engineering,241B,27129,Adv Digital Int Cir,Lecture,1,Borivoje Nikolic,Mon Wed 01:00p-02:29p,4,22,30,11,50,50,0,Week 04
2017 Spring,Electrical Engineering,W241B,27130,Adv Digital Int Cir,Web-Based Lecture,1,Borivoje Nikolic,12:00a-12:00a,2,10,8,8,80,80,0,Week 04
2017 Spring,Electrical Engineering,C247B,27138,Intro Mems Design,Lecture,1,Clark Nguyen,Tue Thu 03:30p-04:59p,8,17,20,10,58.82353,58.82353,0,Week 04
2017 Spring,Electrical Engineering,290C,34185,Circuit Design,Lecture,1,Kristofer Pister,Tue Thu 04:00p-05:29p,2,15,5,1,6.666667,6.666667,0,Week 04
2017 Spring,Electrical Engineering,290Q,27149,Communicat Network,Lecture,1,Adam Wolisz,Wed 03:00p-04:59p,,16,5,1,6.25,6.25,0,Week 04
2017 Spring,Electrical Engineering,298,27155,"Gr Stu, Sem, Gr Res",Lecture,8,John Wawrzynek,Fri 12:30p-01:29p,5,70,30,30,42.85714,42.85714,0,Week 04
2017 Spring,Electrical Engineering,298,27157,"Gr Stu, Sem, Gr Res",Lecture,13,Shimon Lustig; Thomas Zajdel,Wed 06:30p-08:29p,2,10,10,6,60,60,0,Week 04
2017 Spring,Electrical Engineering,375,27256,Teaching Elec Eng,Seminar,1,Jan Rabaey; Prabal Dutta,05:00p-06:29p,22,51,45,52,101.9608,101.9608,0,Week 04
2017 Spring,English,R1A,14536,Reading And Comp,Lecture,1,Frank Cruz; Katherine Snyder,Mon Wed Fri 10:00a-10:59a,19,16,0,16,100,100,0,Week 04
2017 Spring,English,R1A,14537,Reading And Comp,Lecture,2,Katherine Snyder; Mark Scott,Mon Wed Fri 12:00p-12:59p,15,19,1,19,100,100,1,Week 04
2017 Spring,English,R1A,14538,Reading And Comp,Lecture,3,Aparajita Nanda,Mon Wed Fri 01:00p-01:59p,11,18,0,18,100,100,0,Week 04
2017 Spring,English,R1A,14540,Reading And Comp,Lecture,4,Katherine Snyder; Kathryn Fleishman,Mon Wed Fri 02:00p-02:59p,21,16,0,16,100,100,0,Week 04
2017 Spring,English,R1A,14541,Reading And Comp,Lecture,5,Jessica Carr; Katherine Snyder,Mon Wed Fri 03:00p-03:59p,16,19,0,19,100,100,0,Week 04
2017 Spring,English,R1A,14542,Reading And Comp,Lecture,6,Katherine Snyder; Lise Gaston,Tue Thu 08:00a-09:29a,16,18,0,18,100,100,0,Week 04
2017 Spring,English,R1A,14543,Reading And Comp,Lecture,7,Jonathan Larner-Lewis; Katherine Snyder,Tue Thu 05:00p-06:29p,16,20,0,20,100,100,0,Week 04
2017 Spring,English,R1B,14544,Reading And Comp,Lecture,1,Brandon Callender; Katherine Snyder,Mon Wed Fri 11:00a-11:59a,16,17,0,17,100,100,0,Week 04
2017 Spring,English,R1B,14545,Reading And Comp,Lecture,2,Katherine Bondy; Katherine Snyder,Mon Wed Fri 12:00p-12:59p,14,19,0,19,100,100,0,Week 04
2017 Spring,English,R1B,14546,Reading And Comp,Lecture,3,Jason De Stefano; Katherine Snyder,Mon Wed Fri 12:00p-12:59p,11,18,0,18,100,100,0,Week 04
2017 Spring,English,R1B,14547,Reading And Comp,Lecture,4,Katherine Snyder; Pierre Tchetgen,Mon Wed Fri 12:00p-12:59p,17,17,0,17,100,100,0,Week 04
